RequestID,Subject,Description,Category,Department,Requester,Technician,Request Mode,Created Time,Resolved Time,Request Status,Priority
70356,Approval stuck for laptop request,Approval stuck for laptop request. Raised via self-service portal.,Workflow,IT,Employee 6342,Tech 01,Web Form,2025-06-10 12:00:06,2025-06-19 22:26:16,Closed,Low
70325,How do I set up MFA on new phone,How do I set up MFA on new phone. Raised via self-service portal.,How-to,R&D,Employee 3057,Tech 09,Web Form,2025-06-02 21:31:57,,On Hold,Medium
70277,Shared mailbox access request,Shared mailbox access request. Raised via self-service portal.,Email & Collaboration,Supply Chain,Employee 8897,Tech 08,Web Form,2025-06-25 15:26:28,2025-06-26 07:24:48,Closed,Medium
70021,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,HR,Employee 9935,Tech 07,Phone Call,2025-06-05 01:01:27,2025-06-05 04:57:02,Resolved,Low
70230,Wi-Fi drops in meeting rooms,Wi-Fi drops in meeting rooms. Raised via self-service portal.,Network,Manufacturing,Employee 1994,Tech 01,Web Form,2025-08-12 15:36:52,,On Hold,Low
70036,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,Finance,Employee 4835,Tech 05,Phone Call,2025-07-21 06:36:51,2025-07-21 09:05:36,Closed,High
70164,Printer not printing on level 2,Printer not printing on level 2. Raised via self-service portal.,Hardware,Manufacturing,Employee 9129,Tech 05,Web Form,2025-07-05 20:33:16,2025-07-06 20:13:52,Closed,Medium
70313,How do I set up MFA on new phone,How do I set up MFA on new phone. Raised via self-service portal.,How-to,Finance,Employee 3485,Tech 03,E-Mail,2025-07-19 07:18:11,2025-07-19 14:11:48,Closed,Medium
70264,Shared mailbox access request,Shared mailbox access request. Raised via self-service portal.,Email & Collaboration,Supply Chain,Employee 5069,Tech 04,Phone Call,2025-08-11 12:33:27,2025-08-12 09:55:58,Closed,Low
70343,Weekly sales report not generated,Weekly sales report not generated. Raised via self-service portal.,Reporting,Field Sales,Employee 5283,Tech 05,Phone Call,2025-07-28 08:26:01,2025-07-31 22:25:50,Closed,Medium
70256,VPN setup for remote work,VPN setup for remote work. Raised via self-service portal.,Network,Supply Chain,Employee 9325,Tech 02,Web Form,2025-08-25 05:13:50,,On Hold,Medium
70128,License required for design tool,License required for design tool. Raised via self-service portal.,Software,Regulatory Affairs,Employee 9270,Tech 07,E-Mail,2025-08-13 14:47:16,,Open,High
70169,Printer not printing on level 2,Printer not printing on level 2. Raised via self-service portal.,Hardware,Marketing,Employee 5482,Tech 08,Web Form,2025-07-31 12:38:09,2025-08-02 08:03:22,Closed,Medium
70315,How do I set up MFA on new phone,How do I set up MFA on new phone. Raised via self-service portal.,How-to,Manufacturing,Employee 1234,Tech 08,E-Mail,2025-06-12 10:29:15,2025-06-12 13:01:58,Closed,High
70110,Software install request,Software install request. Raised via self-service portal.,Software,Regulatory Affairs,Employee 9365,Tech 11,Phone Call,2025-06-03 20:03:42,2025-06-05 17:06:23,Closed,Low
70124,Software install request,Software install request. Raised via self-service portal.,Software,Supply Chain,Employee 6550,Tech 04,E-Mail,2025-06-09 20:46:31,2025-06-10 04:41:54,Closed,Medium
70155,Printer not printing on level 2,Printer not printing on level 2. Raised via self-service portal.,Hardware,IT,Employee 8061,Tech 04,Web Form,2025-08-29 02:02:24,2025-08-31 01:34:37,Resolved,Low
70055,New starter account creation,New starter account creation. Raised via self-service portal.,User Lifecycle,HR,Employee 5380,Tech 04,Phone Call,2025-08-22 20:32:59,2025-08-24 07:36:36,Closed,Low
70089,Leaver access revocation,Leaver access revocation. Raised via self-service portal.,User Lifecycle,Regulatory Affairs,Employee 6752,Tech 02,Web Form,2025-06-02 01:02:02,2025-06-03 11:26:24,Closed,High
70179,Laptop replacement request,Laptop replacement request. Raised via self-service portal.,Hardware,Manufacturing,Employee 5480,Tech 03,Phone Call,2025-08-20 20:15:07,2025-08-23 10:30:53,Resolved,High
70319,How do I set up MFA on new phone,How do I set up MFA on new phone. Raised via self-service portal.,How-to,Manufacturing,Employee 9303,Tech 05,E-Mail,2025-08-26 01:02:16,2025-08-26 04:44:20,Closed,Medium
70249,VPN setup for remote work,VPN setup for remote work. Raised via self-service portal.,Network,HR,Employee 3726,Tech 07,Phone Call,2025-08-22 06:21:15,2025-08-23 06:30:35,Closed,Medium
70008,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,Field Sales,Employee 5599,Tech 05,Phone Call,2025-06-10 06:00:21,2025-06-10 07:15:08,Closed,Medium
70297,Distribution list update,Distribution list update. Raised via self-service portal.,Email & Collaboration,Field Sales,Employee 5933,Tech 12,Web Form,2025-08-06 14:42:57,2025-08-08 14:12:24,Resolved,Low
70097,Software install request,Software install request. Raised via self-service portal.,Software,Marketing,Employee 1949,Tech 09,Phone Call,2025-06-15 21:02:29,2025-06-17 12:47:52,Resolved,High
70111,Software install request,Software install request. Raised via self-service portal.,Software,Marketing,Employee 4557,Tech 06,Web Form,2025-06-17 03:16:11,2025-06-18 14:12:26,Closed,Low
70120,Software install request,Software install request. Raised via self-service portal.,Software,Marketing,Employee 1181,Tech 09,Web Form,2025-08-12 13:40:34,2025-08-13 14:54:16,Closed,Medium
70152,Printer not printing on level 2,Printer not printing on level 2. Raised via self-service portal.,Hardware,IT,Employee 6398,Tech 10,Web Form,2025-08-26 03:43:13,2025-08-27 11:02:04,Closed,High
70064,New starter account creation,New starter account creation. Raised via self-service portal.,User Lifecycle,Finance,Employee 9261,Tech 01,E-Mail,2025-06-02 16:22:22,2025-06-04 10:59:17,Closed,High
70029,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,Supply Chain,Employee 7904,Tech 06,Phone Call,2025-07-19 13:35:53,2025-07-19 15:16:12,Closed,High
70263,Shared mailbox access request,Shared mailbox access request. Raised via self-service portal.,Email & Collaboration,Field Sales,Employee 2911,Tech 03,Phone Call,2025-08-25 21:11:35,2025-08-26 18:14:02,Resolved,High
70210,Monitor flickering,Monitor flickering. Raised via self-service portal.,Hardware,Field Sales,Employee 9440,Tech 12,E-Mail,2025-06-26 05:59:35,,On Hold,Medium
70158,Printer not printing on level 2,Printer not printing on level 2. Raised via self-service portal.,Hardware,R&D,Employee 3302,Tech 01,Phone Call,2025-07-19 03:58:13,2025-07-20 21:46:07,Resolved,High
70202,Monitor flickering,Monitor flickering. Raised via self-service portal.,Hardware,HR,Employee 7893,Tech 01,Web Form,2025-06-04 10:58:29,2025-06-07 10:16:37,Closed,High
70259,VPN setup for remote work,VPN setup for remote work. Raised via self-service portal.,Network,Quality,Employee 1918,Tech 09,Web Form,2025-06-23 15:40:53,2025-06-24 22:22:18,Resolved,Medium
70057,New starter account creation,New starter account creation. Raised via self-service portal.,User Lifecycle,Quality,Employee 9015,Tech 10,Phone Call,2025-06-06 00:15:58,2025-06-07 05:39:11,Closed,Medium
70204,Monitor flickering,Monitor flickering. Raised via self-service portal.,Hardware,Regulatory Affairs,Employee 6605,Tech 04,Web Form,2025-06-18 10:32:53,2025-06-20 01:27:59,Resolved,Medium
70071,Leaver access revocation,Leaver access revocation. Raised via self-service portal.,User Lifecycle,Field Sales,Employee 2851,Tech 01,E-Mail,2025-07-24 14:11:56,2025-07-25 20:13:18,Closed,Medium
70332,How do I set up MFA on new phone,How do I set up MFA on new phone. Raised via self-service portal.,How-to,R&D,Employee 5803,Tech 02,E-Mail,2025-07-31 03:45:54,2025-07-31 11:39:41,Closed,High
70295,Distribution list update,Distribution list update. Raised via self-service portal.,Email & Collaboration,IT,Employee 1496,Tech 10,Phone Call,2025-07-04 12:01:46,2025-07-04 18:07:05,Closed,Low
70107,Software install request,Software install request. Raised via self-service portal.,Software,Finance,Employee 5302,Tech 07,Web Form,2025-06-21 03:54:52,2025-06-21 08:08:08,Closed,Low
70222,Wi-Fi drops in meeting rooms,Wi-Fi drops in meeting rooms. Raised via self-service portal.,Network,Manufacturing,Employee 3296,Tech 12,Web Form,2025-06-13 07:42:23,2025-06-16 11:26:41,Resolved,Low
70134,License required for design tool,License required for design tool. Raised via self-service portal.,Software,R&D,Employee 7445,Tech 11,E-Mail,2025-07-28 01:04:34,,On Hold,High
70307,Distribution list update,Distribution list update. Raised via self-service portal.,Email & Collaboration,Finance,Employee 8037,Tech 03,Phone Call,2025-06-11 21:36:41,2025-06-12 19:53:05,Closed,Medium
70220,Wi-Fi drops in meeting rooms,Wi-Fi drops in meeting rooms. Raised via self-service portal.,Network,Regulatory Affairs,Employee 3617,Tech 04,E-Mail,2025-08-10 14:16:45,2025-08-14 13:53:43,Closed,Medium
70279,Shared mailbox access request,Shared mailbox access request. Raised via self-service portal.,Email & Collaboration,Finance,Employee 6859,Tech 06,E-Mail,2025-08-18 11:27:16,2025-08-19 13:46:27,Closed,Medium
70201,Monitor flickering,Monitor flickering. Raised via self-service portal.,Hardware,Regulatory Affairs,Employee 7827,Tech 02,E-Mail,2025-07-09 19:08:49,2025-07-11 17:01:31,Closed,Medium
70262,Shared mailbox access request,Shared mailbox access request. Raised via self-service portal.,Email & Collaboration,Regulatory Affairs,Employee 6254,Tech 11,Phone Call,2025-07-11 13:28:52,2025-07-11 23:29:59,Closed,Low
70020,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,Regulatory Affairs,Employee 2795,Tech 08,E-Mail,2025-08-03 07:37:11,2025-08-03 10:20:00,Resolved,Medium
70198,Monitor flickering,Monitor flickering. Raised via self-service portal.,Hardware,R&D,Employee 1672,Tech 04,E-Mail,2025-06-04 14:17:48,2025-06-06 20:10:30,Closed,Low
70213,Monitor flickering,Monitor flickering. Raised via self-service portal.,Hardware,Supply Chain,Employee 3676,Tech 11,E-Mail,2025-07-21 07:11:16,2025-07-22 07:18:50,Closed,High
70159,Printer not printing on level 2,Printer not printing on level 2. Raised via self-service portal.,Hardware,Manufacturing,Employee 5684,Tech 10,Phone Call,2025-06-17 17:47:40,2025-06-18 01:33:51,Closed,Medium
70011,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,Manufacturing,Employee 8660,Tech 11,Web Form,2025-07-24 18:55:06,,Open,Low
70147,Printer not printing on level 2,Printer not printing on level 2. Raised via self-service portal.,Hardware,HR,Employee 6633,Tech 02,E-Mail,2025-06-26 09:22:37,2025-06-27 05:59:27,Closed,Low
70022,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,HR,Employee 5096,Tech 07,Web Form,2025-07-29 06:25:08,2025-07-29 09:42:09,Closed,Low
70281,Shared mailbox access request,Shared mailbox access request. Raised via self-service portal.,Email & Collaboration,Regulatory Affairs,Employee 4938,Tech 07,E-Mail,2025-08-28 19:15:24,2025-08-30 05:00:25,Closed,Medium
70049,New starter account creation,New starter account creation. Raised via self-service portal.,User Lifecycle,Quality,Employee 3786,Tech 03,Phone Call,2025-06-20 19:03:55,2025-06-22 05:46:17,Closed,Low
70016,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,Finance,Employee 3375,Tech 05,Web Form,2025-08-13 19:19:10,2025-08-13 21:05:09,Resolved,High
70173,Laptop replacement request,Laptop replacement request. Raised via self-service portal.,Hardware,Quality,Employee 8106,Tech 10,Web Form,2025-07-01 16:38:50,2025-07-06 03:10:25,Resolved,Low
70091,Leaver access revocation,Leaver access revocation. Raised via self-service portal.,User Lifecycle,HR,Employee 1367,Tech 07,E-Mail,2025-08-23 00:46:25,2025-08-24 04:52:39,Closed,High
70072,Leaver access revocation,Leaver access revocation. Raised via self-service portal.,User Lifecycle,R&D,Employee 8781,Tech 02,E-Mail,2025-08-18 02:41:03,2025-08-18 19:36:22,Closed,Medium
70355,Approval stuck for laptop request,Approval stuck for laptop request. Raised via self-service portal.,Workflow,Field Sales,Employee 1605,Tech 01,Web Form,2025-07-02 18:58:59,,Open,Medium
70334,Weekly sales report not generated,Weekly sales report not generated. Raised via self-service portal.,Reporting,Quality,Employee 3496,Tech 08,Web Form,2025-07-21 05:32:07,2025-07-24 21:03:03,Closed,Medium
70104,Software install request,Software install request. Raised via self-service portal.,Software,Marketing,Employee 2170,Tech 10,Web Form,2025-07-13 10:38:35,2025-07-14 08:45:39,Resolved,Low
70066,New starter account creation,New starter account creation. Raised via self-service portal.,User Lifecycle,Field Sales,Employee 7857,Tech 03,Web Form,2025-08-09 12:08:22,2025-08-12 09:18:26,Closed,High
70043,New starter account creation,New starter account creation. Raised via self-service portal.,User Lifecycle,IT,Employee 4132,Tech 09,Web Form,2025-06-10 14:58:59,2025-06-12 08:26:12,Closed,Low
70151,Printer not printing on level 2,Printer not printing on level 2. Raised via self-service portal.,Hardware,Regulatory Affairs,Employee 1744,Tech 11,Phone Call,2025-08-23 18:57:22,2025-08-24 11:55:56,Closed,Low
70359,Approval stuck for laptop request,Approval stuck for laptop request. Raised via self-service portal.,Workflow,Finance,Employee 5374,Tech 03,Phone Call,2025-07-12 08:59:07,2025-07-13 11:30:56,Closed,Low
70037,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,Field Sales,Employee 1368,Tech 04,Phone Call,2025-08-18 14:59:44,2025-08-18 17:20:54,Closed,High
70105,Software install request,Software install request. Raised via self-service portal.,Software,Marketing,Employee 8302,Tech 12,E-Mail,2025-06-05 20:00:10,2025-06-07 16:41:17,Closed,Medium
70150,Printer not printing on level 2,Printer not printing on level 2. Raised via self-service portal.,Hardware,Finance,Employee 7036,Tech 05,E-Mail,2025-07-05 16:39:40,2025-07-06 10:25:57,Closed,Medium
70316,How do I set up MFA on new phone,How do I set up MFA on new phone. Raised via self-service portal.,How-to,Finance,Employee 4675,Tech 10,E-Mail,2025-08-20 04:26:15,2025-08-20 11:05:17,Closed,Medium
70108,Software install request,Software install request. Raised via self-service portal.,Software,Finance,Employee 2419,Tech 07,E-Mail,2025-06-08 02:18:01,2025-06-09 05:41:27,Closed,Medium
70237,Wi-Fi drops in meeting rooms,Wi-Fi drops in meeting rooms. Raised via self-service portal.,Network,Manufacturing,Employee 7405,Tech 09,E-Mail,2025-07-12 04:48:00,2025-07-16 21:57:04,Closed,Medium
70013,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,Quality,Employee 1695,Tech 09,E-Mail,2025-06-30 17:48:06,2025-06-30 20:45:57,Closed,High
70085,Leaver access revocation,Leaver access revocation. Raised via self-service portal.,User Lifecycle,R&D,Employee 3387,Tech 10,E-Mail,2025-08-23 21:35:12,2025-08-25 02:54:56,Closed,Medium
70221,Wi-Fi drops in meeting rooms,Wi-Fi drops in meeting rooms. Raised via self-service portal.,Network,Supply Chain,Employee 3918,Tech 05,Web Form,2025-08-11 10:54:19,2025-08-16 03:58:11,Closed,High
70162,Printer not printing on level 2,Printer not printing on level 2. Raised via self-service portal.,Hardware,Finance,Employee 3023,Tech 10,Web Form,2025-07-17 13:22:03,2025-07-19 09:58:01,Closed,Medium
70339,Weekly sales report not generated,Weekly sales report not generated. Raised via self-service portal.,Reporting,R&D,Employee 7564,Tech 09,E-Mail,2025-07-09 15:03:38,2025-07-10 14:11:14,Closed,Low
70127,License required for design tool,License required for design tool. Raised via self-service portal.,Software,HR,Employee 3243,Tech 05,Phone Call,2025-07-12 17:58:11,2025-07-14 14:15:01,Closed,High
70167,Printer not printing on level 2,Printer not printing on level 2. Raised via self-service portal.,Hardware,Supply Chain,Employee 3097,Tech 03,E-Mail,2025-07-25 08:10:17,2025-07-26 10:26:35,Closed,Low
70014,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,Supply Chain,Employee 4023,Tech 12,Phone Call,2025-07-27 18:06:58,2025-07-27 18:44:26,Closed,Medium
70117,Software install request,Software install request. Raised via self-service portal.,Software,Regulatory Affairs,Employee 9393,Tech 03,E-Mail,2025-08-07 03:32:04,2025-08-08 02:57:10,Resolved,Low
70143,License required for design tool,License required for design tool. Raised via self-service portal.,Software,IT,Employee 8815,Tech 11,Phone Call,2025-07-18 04:44:42,2025-07-19 22:24:08,Resolved,Medium
70185,Laptop replacement request,Laptop replacement request. Raised via self-service portal.,Hardware,Marketing,Employee 8836,Tech 02,E-Mail,2025-07-26 18:16:28,2025-08-01 06:20:04,Closed,Low
70047,New starter account creation,New starter account creation. Raised via self-service portal.,User Lifecycle,HR,Employee 7829,Tech 04,Web Form,2025-06-13 15:40:08,2025-06-16 07:41:23,Closed,Low
70083,Leaver access revocation,Leaver access revocation. Raised via self-service portal.,User Lifecycle,Finance,Employee 6215,Tech 08,Phone Call,2025-07-08 05:48:48,2025-07-08 20:32:14,Resolved,Low
70203,Monitor flickering,Monitor flickering. Raised via self-service portal.,Hardware,Field Sales,Employee 3952,Tech 12,Web Form,2025-08-05 08:34:26,2025-08-07 01:18:40,Closed,Medium
70050,New starter account creation,New starter account creation. Raised via self-service portal.,User Lifecycle,Finance,Employee 3284,Tech 06,Phone Call,2025-08-08 12:07:24,2025-08-10 01:08:37,Closed,Medium
70009,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,Marketing,Employee 1881,Tech 08,Phone Call,2025-08-13 05:51:43,2025-08-13 06:26:58,Resolved,High
70026,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,Supply Chain,Employee 6181,Tech 03,Phone Call,2025-07-07 03:32:58,2025-07-07 05:25:41,Closed,Medium
70227,Wi-Fi drops in meeting rooms,Wi-Fi drops in meeting rooms. Raised via self-service portal.,Network,Regulatory Affairs,Employee 2820,Tech 09,E-Mail,2025-08-24 17:06:08,2025-08-27 20:40:10,Closed,High
70335,Weekly sales report not generated,Weekly sales report not generated. Raised via self-service portal.,Reporting,Manufacturing,Employee 9894,Tech 04,Web Form,2025-08-05 14:28:38,2025-08-05 23:34:52,Closed,Medium
70177,Laptop replacement request,Laptop replacement request. Raised via self-service portal.,Hardware,Field Sales,Employee 2960,Tech 11,Web Form,2025-08-28 15:01:13,,Open,Low
70024,Password reset for domain account,Password reset for domain account. Raised via self-service portal.,Identity & Access,Supply Chain,Employee 5802,Tech 03,E-Mail,2025-07-07 19:41:30,2025-07-07 21:03:17,Closed,Low
70232,Wi-Fi drops in meeting rooms,Wi-Fi drops in meeting rooms. Raised via self-service portal.,Network,Finance,Employee 1628,Tech 03,Web Form,2025-06-28 22:35:58,,Open,High
70243,VPN setup for remote work,VPN setup for remote work. Raised via self-service portal.,Network,R&D,Employee 5129,Tech 04,Web Form,2025-08-16 03:28:30,2025-08-16 18:37:49,Closed,Medium
70087,Leaver access revocation,Leaver access revocation. Raised via self-service portal.,User Lifecycle,Manufacturing,Employee 1654,Tech 03,E-Mail,2025-07-09 00:05:25,2025-07-10 04:45:20,Closed,Medium
70176,Laptop replacement request,Laptop replacement request. Raised via self-service portal.,Hardware,Manufacturing,Employee 5125,Tech 05,E-Mail,2025-07-18 09:07:14,,Open,Low
