ID,Priority,Source,Requester Name,Subject,Description,Status,Agent Group Name,Agent Name,Created Date,Resolved Date,Requester Location,Department Name,Service Category,Sub Category,SLA Met
FLD190588,medium,email,Employee 6233,VPN keeps disconnecting at plant network,"VPN keeps disconnecting at plant network. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 7752 Emp Code 7752 Mobile 98xxxxxx73 HQ Region South. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Resolved,Network Team,Agent 01,25-04-2025 12:50:23 AM,25-04-2025 04:24:40 PM,Plant B,Field Sales,Network & Connectivity,VPN,No
FLD190328,low,email,Employee 7051,Requesting for iPad slide is not working,"Requesting for iPad slide is not working. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 1481 Emp Code 1481 Mobile 98xxxxxx70 HQ Region North. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Field Support L2,Agent 32,16-06-2025 03:28:11 AM,16-06-2025 04:17:02 PM,Plant A,Field Sales,Hardware & Devices,iPad,Yes
FLD190160,urgent,chat,Employee 5084,Kindly unlock my attendance in FieldHub,"Kindly unlock my attendance in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 1189 Emp Code 1189 Mobile 98xxxxxx56 HQ Plant A. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Field Support L1,Agent 34,10-06-2025 05:10:34 PM,12-06-2025 08:21:28 AM,Plant B,Field Sales,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190367,medium,portal,Employee 6104,iPad enrollment for new joiner,"iPad enrollment for new joiner. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 6771 Emp Code 6771 Mobile 98xxxxxx83 HQ Plant A. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Resolved,Endpoint Team,Agent 39,07-04-2025 04:27:35 AM,13-04-2025 01:18:05 PM,Region South,Field Sales,Hardware & Devices,iPad,Yes
FLD190152,medium,email,Employee 2298,Kindly unlock my attendance in FieldHub,"Kindly unlock my attendance in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 9117 Emp Code 9117 Mobile 98xxxxxx45 HQ Plant B. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",On Hold,Field Support L1,Agent 14,22-03-2025 02:46:26 PM,,Plant B,Field Sales,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190064,low,portal,Employee 6185,Kindly unlock my attendance in FieldHub,"Kindly unlock my attendance in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 1061 Emp Code 1061 Mobile 98xxxxxx86 HQ Region West. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Open,Field Support L1,Agent 05,10-04-2025 04:42:58 AM,,Plant A,Manufacturing,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190460,high,portal,Employee 6965,"Account locked out, unable to sign in to SSO","Account locked out, unable to sign in to SSO. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 8755 Emp Code 8755 Mobile 98xxxxxx21 HQ Plant A. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,IT Service Desk,Agent 02,05-06-2025 12:40:55 AM,05-06-2025 05:13:29 AM,Plant B,Manufacturing,Access & Authentication,Login Issues,Yes
FLD190255,medium,portal,Employee 5895,Leave balance not reflecting in FieldHub,"Leave balance not reflecting in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 9371 Emp Code 9371 Mobile 98xxxxxx63 HQ Region West. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Field Support L1,Agent 04,04-05-2025 03:59:18 PM,05-05-2025 04:29:33 AM,HQ,Finance,Application & Software,FieldHub - Reporting & Account,Yes
FLD190208,low,email,Employee 9310,FieldHub attendance reset request 23 March,"FieldHub attendance reset request 27 March. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 2877 Emp Code 2877 Mobile 98xxxxxx90 HQ Region West. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",On Hold,Field Support L1,Agent 33,21-05-2025 12:56:27 PM,,Plant A,Regulatory Affairs,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190670,medium,email,Employee 9200,sales assist not working,"sales assist not working. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 5791 Emp Code 5791 Mobile 98xxxxxx58 HQ Region South. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Transfer to GXP Support,Field Support L1,Agent 08,05-04-2025 08:13:45 AM,,HQ,Field Sales,,,Yes
FLD190018,medium,portal,Employee 7485,Kindly unlock my attendance in FieldHub,"Kindly unlock my attendance in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 2391 Emp Code 2391 Mobile 98xxxxxx30 HQ Plant B. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",On Hold,Field Support L1,Agent 09,22-03-2025 10:08:33 AM,,Plant A,Field Sales,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190261,medium,portal,Employee 3522,Leave balance not reflecting in FieldHub,"Leave balance not reflecting in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 6314 Emp Code 6314 Mobile 98xxxxxx80 HQ Plant B. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Field Support L1,Agent 10,05-04-2025 05:40:08 AM,06-04-2025 07:56:09 PM,Region West,Manufacturing,Application & Software,FieldHub - Reporting & Account,Yes
FLD190539,medium,portal,Employee 3110,"SAP attendance period locked, cannot submit timesheet","SAP attendance period locked, cannot submit timesheet. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 2776 Emp Code 2776 Mobile 98xxxxxx74 HQ Region West. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,SAP Basis,Agent 11,03-03-2025 05:10:21 AM,04-03-2025 06:54:33 PM,Region North,Field Sales,Application & Software,SAP,Yes
FLD190115,medium,email,Employee 5822,Kindly unlock my attendance in FieldHub,"Kindly unlock my attendance in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 3050 Emp Code 3050 Mobile 98xxxxxx70 HQ HQ. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Resolved,Field Support L1,Agent 15,18-03-2025 01:14:19 PM,21-03-2025 01:43:34 AM,HQ,R&D,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190164,medium,portal,Employee 4630,Kindly unlock my attendance in FieldHub,"Kindly unlock my attendance in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 4296 Emp Code 4296 Mobile 98xxxxxx80 HQ Region West. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Resolved,Field Support L1,Agent 24,28-05-2025 07:28:51 AM,29-05-2025 07:00:29 AM,Region North,Finance,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190566,medium,email,Employee 2168,Unable to use my Outlook on laptop,"Unable to use my Outlook on laptop. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 9541 Emp Code 9541 Mobile 98xxxxxx65 HQ Plant B. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Resolved,IT Service Desk,Agent 02,29-05-2025 09:09:30 AM,31-05-2025 06:04:14 AM,Region South,Field Sales,Communication Tools,Email/Outlook,Yes
FLD190079,low,portal,Employee 1624,Kindly unlock my attendance in FieldHub,"Kindly unlock my attendance in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 6311 Emp Code 6311 Mobile 98xxxxxx25 HQ Region North. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Open,Field Support L1,Agent 39,26-05-2025 11:39:43 PM,,Region North,Finance,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190032,medium,portal,Employee 9944,Kindly unlock my attendance in FieldHub,"Kindly unlock my attendance in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 9301 Emp Code 9301 Mobile 98xxxxxx49 HQ Region West. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Field Support L1,Agent 14,30-03-2025 11:33:25 AM,01-04-2025 12:19:22 PM,Plant B,HR,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190728,medium,portal,Employee 7153,"unable to access, request to resolve","unable to access, request to resolve. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 2250 Emp Code 2250 Mobile 98xxxxxx80 HQ Region West. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Resolved,IT Service Desk,Agent 38,01-04-2025 12:06:02 PM,04-04-2025 02:56:35 AM,Region North,IT,,,Yes
FLD190569,medium,portal,Employee 6123,Unable to use my Outlook on laptop,"Unable to use my Outlook on laptop. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 9717 Emp Code 9717 Mobile 98xxxxxx69 HQ Plant A. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",On Hold,IT Service Desk,Agent 19,05-03-2025 05:32:41 AM,,HQ,Supply Chain,Communication Tools,Email/Outlook,Yes
FLD190707,medium,chat,Employee 2907,"showing error, please help","showing error, please help. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 2941 Emp Code 2941 Mobile 98xxxxxx50 HQ HQ. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Resolved,IT Service Desk,Agent 27,09-06-2025 08:47:20 PM,16-06-2025 03:48:33 AM,Region West,R&D,,,Yes
FLD190030,high,email,Employee 3117,Kindly unlock my attendance in FieldHub,"Kindly unlock my attendance in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 4906 Emp Code 4906 Mobile 98xxxxxx24 HQ Plant B. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Field Support L1,Agent 17,24-04-2025 10:52:03 AM,26-04-2025 04:28:33 AM,Plant A,Field Sales,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190534,medium,portal,Employee 1891,"SAP attendance period locked, cannot submit timesheet","SAP attendance period locked, cannot submit timesheet. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 2859 Emp Code 2859 Mobile 98xxxxxx83 HQ Plant A. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,SAP Basis,Agent 02,30-03-2025 07:53:29 PM,01-04-2025 10:46:57 PM,Plant B,Quality,Application & Software,SAP,No
FLD190521,low,chat,Employee 8935,"SAP attendance period locked, cannot submit timesheet","SAP attendance period locked, cannot submit timesheet. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 4456 Emp Code 4456 Mobile 98xxxxxx62 HQ HQ. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,SAP Basis,Agent 14,07-04-2025 01:56:13 PM,10-04-2025 06:04:48 AM,Plant B,Regulatory Affairs,Application & Software,SAP,Yes
FLD190134,medium,email,Employee 5585,Kindly unlock my attendance in FieldHub,"Kindly unlock my attendance in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 6440 Emp Code 6440 Mobile 98xxxxxx87 HQ Region West. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Field Support L1,Agent 01,02-06-2025 08:54:31 AM,03-06-2025 07:24:12 AM,Plant B,Finance,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190170,medium,portal,Employee 9184,FieldHub attendance reset request 13 March,"FieldHub attendance reset request 15 March. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 5915 Emp Code 5915 Mobile 98xxxxxx33 HQ Region South. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Field Support L1,Agent 20,16-04-2025 09:10:16 PM,18-04-2025 03:19:02 AM,Plant B,IT,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190084,medium,portal,Employee 9290,Kindly unlock my attendance in FieldHub,"Kindly unlock my attendance in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 7099 Emp Code 7099 Mobile 98xxxxxx14 HQ Plant B. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Field Support L1,Agent 12,24-04-2025 06:26:24 PM,27-04-2025 04:00:52 PM,Region North,Field Sales,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190465,low,email,Employee 3874,"Account locked out, unable to sign in to SSO","Account locked out, unable to sign in to SSO. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 4178 Emp Code 4178 Mobile 98xxxxxx61 HQ Region North. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,IT Service Desk,Agent 12,05-05-2025 05:09:36 PM,05-05-2025 11:49:45 PM,Region West,Field Sales,Access & Authentication,Login Issues,Yes
FLD190071,medium,portal,Employee 8358,Kindly unlock my attendance in FieldHub,"Kindly unlock my attendance in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 1103 Emp Code 1103 Mobile 98xxxxxx23 HQ Region West. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Field Support L1,Agent 39,25-06-2025 06:08:22 PM,28-06-2025 01:23:29 PM,Region West,Supply Chain,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190175,medium,portal,Employee 7754,FieldHub attendance reset request 6 March,"FieldHub attendance reset request 2 March. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 2746 Emp Code 2746 Mobile 98xxxxxx55 HQ Region South. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",On Hold,Field Support L1,Agent 03,02-05-2025 09:17:04 PM,,Region West,IT,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190036,medium,portal,Employee 2384,Kindly unlock my attendance in FieldHub,"Kindly unlock my attendance in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 3543 Emp Code 3543 Mobile 98xxxxxx94 HQ Region West. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Field Support L1,Agent 39,18-03-2025 06:19:53 AM,19-03-2025 01:07:19 PM,Region North,HR,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190646,low,portal,Employee 9987,New Ticket,"New Ticket. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 3969 Emp Code 3969 Mobile 98xxxxxx87 HQ Region South. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,IT Service Desk,Agent 12,09-06-2025 05:11:24 AM,14-06-2025 08:05:18 PM,Region North,Field Sales,,,Yes
FLD190244,medium,email,Employee 6993,"Forgot to submit my call, please backdate","Forgot to submit my call, please backdate. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 3823 Emp Code 3823 Mobile 98xxxxxx29 HQ Region West. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Resolved,Field Support L1,Agent 30,08-03-2025 09:38:53 PM,10-03-2025 01:41:19 PM,Plant B,Field Sales,Application & Software,SalesTrack CRM,Yes
FLD190591,high,email,Employee 2231,VPN keeps disconnecting at plant network,"VPN keeps disconnecting at plant network. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 5189 Emp Code 5189 Mobile 98xxxxxx19 HQ Plant A. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Resolved,Network Team,Agent 07,22-03-2025 09:09:52 AM,24-03-2025 05:21:18 PM,HQ,Marketing,Network & Connectivity,VPN,Yes
FLD190710,medium,email,Employee 4364,"unable to access, request to resolve","unable to access, request to resolve. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 6197 Emp Code 6197 Mobile 98xxxxxx13 HQ Plant A. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,IT Service Desk,Agent 16,19-04-2025 11:38:18 AM,22-04-2025 06:14:45 AM,Region West,HR,,,No
FLD190555,medium,email,Employee 4533,Unable to use my Outlook on laptop,"Unable to use my Outlook on laptop. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 5226 Emp Code 5226 Mobile 98xxxxxx52 HQ HQ. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,IT Service Desk,Agent 35,26-06-2025 11:05:44 PM,27-06-2025 12:45:49 PM,Plant A,Field Sales,Communication Tools,Email/Outlook,No
FLD190428,low,email,Employee 4889,URGENT: password reset request and login issue,"URGENT: password reset request and login issue. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 6100 Emp Code 6100 Mobile 98xxxxxx63 HQ HQ. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,IT Service Desk,Agent 01,08-05-2025 02:17:19 PM,08-05-2025 09:14:29 PM,Plant B,Field Sales,Access & Authentication,Login Issues,Yes
FLD190438,low,portal,Employee 9391,URGENT: password reset request and login issue,"URGENT: password reset request and login issue. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 5383 Emp Code 5383 Mobile 98xxxxxx18 HQ Plant B. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,IT Service Desk,Agent 34,20-03-2025 04:44:28 PM,21-03-2025 12:17:22 AM,Plant A,Field Sales,Access & Authentication,Login Issues,Yes
FLD190729,high,portal,Employee 3876,"unable to access, request to resolve","unable to access, request to resolve. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 3609 Emp Code 3609 Mobile 98xxxxxx62 HQ Region South. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,IT Service Desk,Agent 09,25-06-2025 05:24:25 AM,28-06-2025 03:19:12 AM,Region North,Field Sales,,,Yes
FLD190186,low,email,Employee 2409,FieldHub attendance reset request 23 March,"FieldHub attendance reset request 6 March. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 4793 Emp Code 4793 Mobile 98xxxxxx51 HQ Plant B. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Field Support L1,Agent 07,31-05-2025 06:39:38 PM,02-06-2025 11:30:01 PM,Plant A,Supply Chain,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190206,medium,email,Employee 8231,FieldHub attendance reset request 13 March,"FieldHub attendance reset request 9 March. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 2871 Emp Code 2871 Mobile 98xxxxxx39 HQ Plant B. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Field Support L1,Agent 13,09-05-2025 11:43:33 AM,12-05-2025 07:51:43 AM,Region South,Field Sales,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190141,medium,portal,Employee 3144,Kindly unlock my attendance in FieldHub,"Kindly unlock my attendance in FieldHub. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 1620 Emp Code 1620 Mobile 98xxxxxx53 HQ Plant B. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Closed,Field Support L1,Agent 12,02-06-2025 12:04:10 PM,05-06-2025 08:25:53 AM,Region North,Field Sales,Application & Software,FieldHub - Attendance & Leave,Yes
FLD190406,medium,portal,Employee 3639,Laptop running very slow after update,"Laptop running very slow after update. Please resolve on priority. [External] EXTERNAL SENDER: do not click links unless you recognize the sender. Regards, Employee 6987 Emp Code 6987 Mobile 98xxxxxx80 HQ Plant B. Get Outlook for iOS. Disclaimer: This email and any files transmitted with it are confidential and intended solely for the use of the individual.",Transfer to GXP Support,IT Service Desk,Agent 23,28-06-2025 06:32:43 AM,,HQ,Quality,Hardware & Devices,Laptop,Yes
